Division,Category,Description,Amount
Cabinet,Staff Welfare,Medici Order,308.2
Cabinet,Event,Frat 101 Event,362.6
Cabinet,Software,Canva Access,300.0
Cabinet,Event,USG X IOP Event,96.3
CCS,Event,CCS Sustainability Mixer,273.82
Cabinet,Event,USG Bingo Night,1229.88
Cabinet,Event,USG Bingo Night 2,55.77
Cabinet,Student Worker Compensation,Confidential,259.79
Cabinet,Student Worker Compensation,Confidential,107.07
Cabinet,Event,USG Bingo Night 3,51.06
Cabinet,Awards,USG Bingo: Halo,114.53
Cabinet,Awards,USG Bingo: Halo,21.51
Cabinet,Student Worker Compensation,Confidential,364.37
Cabinet,Student Worker Compensation,Confidential,57.61
Cabinet,Student Worker Compensation,Confidential,286.35
Cabinet,Student Worker Compensation,Confidential,14.45
Cabinet,Awards,USG Bingo: Ransom ,150.0
Cabinet,Event,Election Results Donuts,128.19
Cabinet,Event,USG - Bike Event,670.8
Cabinet,Reimbursement,Election Reimbursement: Confidential,27.31
CCS,Programs,CCS Compost Buckets,76.05
Cabinet,Staff Welfare,Confidential,51.51
Cabinet,Reimbursement,USG Bingo: PSI,150.0
Cabinet,Event,USG Midway Ice Rink,734.55
Cabinet,Event,SCRC1380: USG Trivia,130.0
Cabinet,Event,SGFC Workshop,173.66
CORSO,Staff Welfare,Meals,233.05
CORSO,Staff Welfare,Meals,189.03
Cabinet,Student Worker Compensation,Confidential,190.91
Cabinet,Student Worker Compensation,Confidential,8.3
CCS,Programs,CCS Comosting,218.49
Cabinet,Event,USG Gathering,574.14
SAAP,Event,SAAP Holiday Study Break,128.41
Cabinet,Staff Welfare,Meals,217.48
SAAP,Event,SAAP Risk Chair Dinner,489.38
Cabinet,Programs,Bike Pump transfer,2000.0
Cabinet,Programs,USG Locks,529.0
HAWC,Programs,HAWC Mental Health Goodies,212.59
Cabinet,Programs,USG Composting,55.87
Cabinet,Programs,Fall 2025 RSO Copy Charges,73.49
Cabinet,Staff Welfare,USG Merch Mercury Order,945.0
CCS,Programs,USG CCS Cafe Loyalty Cards,65.7
Cabinet,Programs,USG Greek Presidents,416.25
HAWC,Programs,HAWC Goodie/ Wellness Bags,67.81
Cabinet,Student Worker Compensation,Confidential,161.85
Cabinet,Student Worker Compensation,Confidential,9.96
Cabinet,Student Worker Compensation,Confidential,244.03
Cabinet,Student Worker Compensation,Confidential,38.52
Cabinet,Student Worker Compensation,Confidential,224.93
Cabinet,Student Worker Compensation,Confidential,74.37
Cabinet,Programs,Composting Payment,220.0
Cabinet,Programs,USG Cookie Distribution,553.87
Cabinet,Programs,Winter Break Shuttles 1,1760.0
Cabinet,Programs,Winter Break Shuttles 2,1320.0
Cabinet,Programs,Winter Break Shuttles 3,2755.0
Cabinet,Programs,USG Diploma Frames,588.74
Cabinet,Capital,USG Elections Banner,252.29
CCS,Programs,CCS Compost Buckets,728.71
Cabinet,Student Worker Compensation,Confidential,188.75
Cabinet,Student Worker Compensation,Confidential,228.25
Cabinet,Student Worker Compensation,Confidential,5.48
Cabinet,Student Worker Compensation,Confidential,125.33
Cabinet,Student Worker Compensation,Confidential,148.91
Cabinet,Student Worker Compensation,Confidential,100.93
Cabinet,Student Worker Compensation,Confidential,351.09
Cabinet,Student Worker Compensation,Confidential,114.88
Cabinet,Student Worker Compensation,Confidential,27.06
Cabinet,Software,Square Space Web Charged Feb-March,124.3
Cabinet,Event,Greek Life Donut Tabling,130.37
SAAP,Event,SAAP Movie Event: Cookies,39.24
SAAP,Event,SAAP Panel Event,295.95
Cabinet,Capital,USG Banner Rope,13.2
Cabinet,Event,Presidential Debate Pizza,269.76
Cabinet,Event,Presidential Debate Pizza add costs,28.24
Cabinet,Programs,USG x IHouse Terracycle,448.0
USG,Staff Welfare,Confidential,680.0
CORSO,Awards,RSO/Leadership Awards,4000.0
COMSA,Microgrants,OLAS Grant 1,530.0
COMSA,Microgrants,ACSA Grant,700.0
SAO,Software,Confidential,205.6
SAO,Software,Confidential,205.6
SAO,Software,Confidential,205.6
SAO,Software,Confidential,205.6
SAO,Software,Confidential,205.6
SAO,Software,Confidential,205.6
SAO,Software,Confidential,205.74
SAO,Software,Confidential,207.9
CCS,Programs,USG CCS Transportation Summit,525.15
COMSA,Microgrants,APHIA: SEF-Alpha Phi Alpha Fraternity Inc Grant,1500.0
Cabinet,Reimbursement,Election Reimbursement: Confidential,372.15
Cabinet,Reimbursement,Election Reimbursement: Confidential,99.64
Cabinet,Reimbursement,Election Reimbursement: Confidential,72.93
Cabinet,Reimbursement,Election Reimbursement: Confidential,800.07
Cabinet,Reimbursement,Election Reimbursement: Confidential,66.52
Cabinet,Reimbursement,Election Reimbursement: Confidential,518.87
Cabinet,Reimbursement,Election Reimbursement: Confidential,598.67
Cabinet,Staff Welfare,Annual Allocations: Reimbursement,592.56
Cabinet,Programs,Campus Free Menstrual Products Survey Tabling,132.9
COMSA,Microgrants,OLAS Grant 2,470.0
Cabinet,Reimbursement,Election Reimbursement: Confidential,702.29
Cabinet,Reimbursement,Election Reimbursement: Confidential,72.31
COMSA,Microgrants,ACSA: African Caribbean Student Association Graduation Celebration,1000.0
Cabinet,Software,Confidential,82.8
Cabinet,Event,USG Spring Open General Body Meeting,855.14
Cabinet,Staff Welfare,Cabinet Spring Transition Meeting,307.59
Cabinet,Reimbursement,DG X USG Anchor Games Prize: Club field hockey Money Think,200.0
